,USSURV1055,USSURV1459
,,
1947Q2,NA,NA
1947Q3,NA,NA
1947Q4,NA,NA
1948Q1,43.3,NA
1948Q2,53.0,NA
1948Q3,42.1,NA
1948Q4,35.0,NA
1949Q1,34.5,NA
1949Q2,31.6,NA
1949Q3,52.3,NA
1949Q4,57.3,NA
1950Q1,62.1,NA
1950Q2,76.6,NA
1950Q3,68.1,NA
1950Q4,67.1,NA
1951Q1,65.5,NA
1951Q2,45.5,NA
1951Q3,48.1,NA
1951Q4,46.5,NA
1952Q1,40.0,NA
1952Q2,43.3,NA
1952Q3,56.1,NA
1952Q4,55.8,NA
1953Q1,50.5,NA
1953Q2,48.5,NA
1953Q3,40.2,NA
1953Q4,35.6,NA
1954Q1,44.7,NA
1954Q2,52.1,NA
1954Q3,53.5,NA
1954Q4,63.8,NA
1955Q1,67.5,NA
1955Q2,63.3,NA
1955Q3,62.4,NA
1955Q4,65.6,NA
1956Q1,57.2,NA
1956Q2,47.7,NA
1956Q3,55.5,NA
1956Q4,52.7,NA
1957Q1,47.5,NA
1957Q2,45.9,NA
1957Q3,45.8,NA
1957Q4,36.8,NA
1958Q1,39.8,NA
1958Q2,51.4,NA
1958Q3,59.8,NA
1958Q4,60.5,NA
1959Q1,67.1,NA
1959Q2,64.4,NA
1959Q3,48.3,NA
1959Q4,58.2,NA
1960Q1,47.8,NA
1960Q2,44.4,NA
1960Q3,45.4,NA
1960Q4,44.3,NA
1961Q1,49.1,NA
1961Q2,58.1,NA
1961Q3,63.0,NA
1961Q4,64.2,NA
1962Q1,60.6,NA
1962Q2,50.8,NA
1962Q3,50.0,NA
1962Q4,57.2,NA
1963Q1,54.7,NA
1963Q2,58.2,NA
1963Q3,56.9,NA
1963Q4,54.0,NA
1964Q1,60.2,NA
1964Q2,60.1,NA
1964Q3,63.3,NA
1964Q4,62.4,NA
1965Q1,64.9,NA
1965Q2,58.7,NA
1965Q3,61.0,NA
1965Q4,62.8,NA
1966Q1,65.7,NA
1966Q2,59.0,NA
1966Q3,58.7,NA
1966Q4,52.4,NA
1967Q1,45.3,134.3
1967Q2,46.8,134.0
1967Q3,54.9,130.1
1967Q4,55.6,136.1
1968Q1,53.8,137.9
1968Q2,53.5,130.7
1968Q3,51.8,131.3
1968Q4,56.1,137.9
1969Q1,57.1,138.2
1969Q2,55.5,137.9
1969Q3,54.1,131.7
1969Q4,52.0,126.0
1970Q1,46.9,101.7
1970Q2,51.1,88.1
1970Q3,44.1,91.0
1970Q4,45.4,75.7
1971Q1,51.2,77.4
1971Q2,53.8,82.3
1971Q3,55.1,82.1
1971Q4,57.6,85.0
1972Q1,59.8,93.6
1972Q2,58.6,98.9
1972Q3,65.1,104.1
1972Q4,70.5,116.1
1973Q1,69.6,110.8
1973Q2,65.0,104.4
1973Q3,63.5,93.8
1973Q4,63.6,70.6
1974Q1,61.8,62.7
1974Q2,54.7,92.5
1974Q3,46.2,77.3
1974Q4,30.9,43.2
1975Q1,31.6,54.5
1975Q2,45.1,72.2
1975Q3,54.4,82.4
1975Q4,54.9,93.7
1976Q1,58.4,101.0
1976Q2,58.2,94.5
